auction_id,price,time,user,action
8467263,173.97,01:12:16 AM,donnerparty,Bid
8467263,173.96,01:12:07 AM,heart0322,Bid
8467263,173.95,01:11:58 AM,sugarface69,Bid
8467263,173.94,01:11:49 AM,ohioboy1962,Bid
8467263,173.93,01:11:40 AM,tcrosw,Bid
8467263,173.92,01:11:31 AM,donnerparty,Bid
8467263,173.91,01:11:22 AM,heart0322,Bid
8467263,173.90,01:11:13 AM,sugarface69,Bid
8467263,173.89,01:11:04 AM,ohioboy1962,Bid
8467263,174.00,01:12:43 AM,sugarface69,Bid
8467263,173.99,01:12:34 AM,ohioboy1962,Bid
8467263,173.98,01:12:25 AM,tcrosw,Bid
8467263,174.16,01:15:07 AM,heart0322,Bid
8467263,174.15,01:14:58 AM,sugarface69,Bid
8467263,174.14,01:14:49 AM,ohioboy1962,Bid
8467263,174.13,01:14:40 AM,tcrosw,Bid
8467263,174.12,01:14:31 AM,donnerparty,Bid
8467263,174.11,01:14:22 AM,heart0322,Bid
8467263,174.10,01:14:13 AM,sugarface69,Bid
8467263,174.09,01:14:04 AM,ohioboy1962,Bid
8467263,174.08,01:13:55 AM,tcrosw,Bid
