auction_id,price,time,user,action
8266770,8759.60,01:12:20 AM,tcrosw,Bid
8266770,8759.59,01:12:11 AM,HDyer1968,Bid
8266770,8759.58,01:12:02 AM,buggywuggs,Bid
8266770,8759.57,01:11:53 AM,dlpeacock,Bid
8266770,8759.56,01:11:44 AM,starvinmarv,Bid
8266770,8759.55,01:11:35 AM,tcrosw,Bid
8266770,8759.54,01:11:26 AM,HDyer1968,Bid
8266770,8759.53,01:11:17 AM,buggywuggs,Bid
8266770,8759.52,01:11:08 AM,dlpeacock,Bid
8266770,8759.62,01:12:38 AM,dlpeacock,Bid
8266770,8759.61,01:12:29 AM,starvinmarv,Bid
8266770,8759.79,01:15:06 AM,buggywuggs,Bid
8266770,8759.78,01:14:57 AM,dlpeacock,Bid
8266770,8759.77,01:14:48 AM,starvinmarv,Bid
8266770,8759.76,01:14:39 AM,tcrosw,Bid
8266770,8759.75,01:14:30 AM,HDyer1968,Bid
8266770,8759.74,01:14:21 AM,buggywuggs,Bid
8266770,8759.73,01:14:12 AM,mbarnes0010,Bid
8266770,8759.72,01:14:08 AM,dlpeacock,Bid
8266770,8759.71,01:13:59 AM,starvinmarv,Bid
